"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3Dheart+rate+age",2015/06/27 01:56:58
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Heart rate variability: Analysis and classification of healthy subjects for different age groups","Poddar, M.G.; Kumar, V.; Sharma, Y.P.","Dept. of Electr. Eng., Indian Inst. of Technol., Roorkee, Roorkee, India","Computing for Sustainable Global Development (INDIACom), 2015 2nd International Conference on","20150504","2015","","","1908","1913","Heart rate and its variability contain subtle information about cardiac health, which are very much difficult to extract without a suitable computer based computation technique. The objective of this study is to evaluate the HRV analysis of healthy subjects of different age groups by features computed from time domain, frequency domain and non-linear methods and classify those using SVM, KNN and PNN multi classifier modules with PCA as a feature space reduction technique. For short term HRV analysis, 60 normal and healthy male volunteers were chosen for ECG recording. 20 subjects in each age group of 18 to 30 years: named as young, 30 to 45 years: named as middle and 45 to 60 years: named as old were considered. In this study, analysis results show that, young age group has higher values in all features than other two groups and PCA-PNN classifier module classifies with a better accuracy of 70% and sensitivity 70% with all age groups.","","978-9-3805-4415-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7100576","Age group;Frequency domain;Heart rate variability;K-nearest neighbor classifier;Non-linear;Principal component analysis;Probabilistic neural network classifier;Support vector machine classifier;Time domain","Electrocardiography;Frequency-domain analysis;Heart rate variability;Principal component analysis;Resonant frequency;Support vector machines","electrocardiography;frequency-domain analysis;medical signal processing;neural nets;principal component analysis;signal classification;support vector machines;time-domain analysis","ECG recording;HRV analysis;K-nearest neighbor classifier;KNN classifier;PCA;PNN multiclassifier modules;SVM;age groups;cardiac health;feature space reduction technique;frequency domain;healthy subject analysis;healthy subject classification;heart rate variability;nonlinear methods;principal component analysis;probabilistic neural network classifier;support vector machine classifier;time domain","","0","","","","","11-13 March 2015","","IEEE","IEEE Conference Publications"
"Short-Term Heart Rate Variability Response to Head-Up Tilt in Young Syncope Patients and Controls with Respect to Age","Dickhaus, H.; Maier, C.; Khalil, M.; Ulmer, H.","Dept. of Med. Informatics, Heidelberg Univ.","Engineering in Medicine and Biology Society, 2006. EMBS '06. 28th Annual International Conference of the IEEE","20080305","2006","","","6430","6433","This study aims at characterizing the short-term time-courses of time- and frequency-domain heart rate variability (HRV) parameters during head-up tilt test (HUTT). Data from 44 young patients with a history of syncope and 34 age-matched controls was analysed in two age-groups related to puberty (<13 and >14 years), and separately for gender, by extracting minute-by-minute progression of mean RR-interval, standard deviation of RR-intervals (SDNN) and their first difference (SDSD) as well as low-frequency (LF, 0.05-0.15 Hz) energy, high-frequency (HF, 0.15-0.4 Hz) energy and the LF/HF-ratio. Time-courses were individually normalized and averaged after synchronization to the events of tilt and tilt-back/syncope. We observed remarkable age-related differences not only with respect to response to tilting but also regarding the differentiation of patients with positive HUTT from controls with negative HUTT. ROC-analysis in three regions of interest (0-2 min after tilt, 2-5 min after tilt, 5-2 min before tilt-back) revealed generally much weaker and less persistent differences in younger subjects whereas in elders the differences were clearer and often most pronounced immediately before syncope. For both age-groups, the relative change of mean RR provided best separation, however in elders in the ROI just before syncope (sensitivity: 74%, specificity 80%) in young immediately after tilt (sens.: 71%, spec.: 74%). In elder subjects, the relative reduction of SDNN 2-5 minute after tilt achieved almost the same performance (sens.: 74%, spec. 80%) as in the ROI before syncope (sens. 78%, spec. 73%), indicating the existence of rather early precursors of syncope that might help to predict the outcome of the HUTT in subjects in or after puberty","1557-170X","1-4244-0032-5","1-4244-003303","10.1109/IEMBS.2006.260143","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4463283","","Cities and towns;Control systems;Electrocardiography;Frequency synchronization;Hafnium;Heart rate variability;History;Nervous system;Testing;USA Councils","electrocardiography;frequency-domain analysis;sensitivity analysis;time-domain analysis","0.05 to 0.15 Hz;0.15 to 0.4 Hz;2 to 5 min;ECG;ROC-analysis;RR-interval;age-related differences;frequency-domain parameter;head-up tilt test;heart rate variability response;puberty;syncope patients;time-domain parameter","","0","","8","","","Aug. 30 2006-Sept. 3 2006","","IEEE","IEEE Conference Publications"
"Age-Related Alterations of Non-Markovian Effects in Stochastic Dynamics of Heart Rate Variability","Yu, P.O.; Yulmetyev, R.M.; Demin, S.A.","Kazan State Pedagogical Univ., Kazan","Modern Technique and Technologies, 2005. MTT 2005. 11th International Scientific and Practical Conference of Students, Post-graduates and Young Scientists","20080418","2005","","","101","103","The ageing of a human organism has been in the focus of attention in physics of live systems over the past years. One of the most significant systems of vital activity of a human body is its cardiovascular system. Today there are a number of scientific studies on the problems of biological ageing of the cardiovascular human system. The latter is extremely sensitive to age-related as well as pathological changes in a human organism. Thus not only physiologists, biologists and physicians have been involved in this studies but also experts from other natural-science areas. Conditions of a human heart are estimated by means of various parameters. Thus heart rate variability (HRV) represents one of the most frequently used parameters, in cardiology. Nowadays there are different methods of studying heart rate variability dynamics.","","978-0-7803-8877-2","978-0-7803-8878-9","10.1109/SPCMTT.2005.4493207","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4493207","","Aging;Cardiology;Frequency estimation;Heart rate variability;Humans;Medical diagnostic imaging;Physics;Stochastic processes;Time measurement;Transmitters","cardiovascular system;haemodynamics;stochastic processes","age-related alterations;cardiology;cardiovascular system;heart rate variability;human organism ageing;nonMarkovian effects;pathology;stochastic dynamics","","0","","","","","21-27 March 2005","","IEEE","IEEE Conference Publications"
"Influence of age and gender on complexity measures for short term heart rate variability analysis in healthy subjects","Voss, A.; Schroeder, R.; Fischer, C.; Heitmann, A.; Peters, A.; Perz, S.","Dept. of Med. Eng. & Biotechnol., Univ. of Appl. Sci. Jena, Jena, Germany","Engineering in Medicine and Biology Society (EMBC), 2013 35th Annual International Conference of the IEEE","20130926","2013","","","5574","5577","Short-term heart rate variability (HRV) analyses (less than 30min) are suitable for ambulatory care and patient monitoring and can provide an almost immediate test result. Short-term 5 min HRV indices from nonlinear dynamics were determined from 782 females and 1124 males from the KORA S4 database. We applied various fractal and complexity measures with focus on entropies and investigated the influence of age in terms of five age decades (25-34, 35-44, 45-54, 55-64 and 65-74 years) and gender on these HRV indices. The analyses revealed significant modifications of the indices especially by age but partly also by gender especially in the younger groups. These results should be considered in future studies applying nonlinear dynamics, especially if major age and gender differences between the investigated groups are expected.","1557-170X","","","10.1109/EMBC.2013.6610813","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6610813","","Aging;Complexity theory;Doped fiber amplifiers;Entropy;Heart rate variability;Time series analysis","cardiology;entropy;patient care;patient monitoring","KORA S4 database;age;age 25 yr to 34 yr;age 35 yr to 44 yr;age 45 yr to 54 yr;age 55 yr to 64 yr;age 65 yr to 74 yr;ambulatory care;complexity measures;entropy;fractal measures;gender;healthy subjects;nonlinear dynamics;patient monitoring;short term HRV analysis;short term heart rate variability analysis","","0","","19","","","3-7 July 2013","","IEEE","IEEE Conference Publications"
"Average heart rate, atrial fibrillation and R-on-T ventricular ectopy in 24h Holter recordings predict all-cause mortality in healthy middle-aged men","De Koning, A.E.; Swenne, C.A.; Agema, W.; Maan, A.C.; Van de Vooren, H.; Manger Cats, V.; Schalij, M.J.; van der Wall, E.E.","Leiden Univ. Med. Center, Netherlands","Computers in Cardiology, 2003","20040504","2003","","","93","96","Ambulatory ECG recordings contain unique information about heart rate dynamics and arrhythmias. However, little is known about the long-term prognostic value in healthy persons. Here we present results of a 22-year follow-up study in 753 apparently healthy men, age at inclusion 52 ± 6 [40-60] years. In the Holter ECG we determined type and incidence of arrhythmias, minimal, averaged and maximal heart rate (HRmin, HRav, HRmax), averaged standard deviation of normal-to-normal beat intervals (SDNN), standard deviation of the normal-to-normal beat interval averages (SDANN), % successive normal-to-normal beat interval differences exceeding 50 ms (pNN50), and low-frequency heart rate variability in normalized units (LFnu). All cause mortality risk factors were computed by a Cox proportional hazards model. During follow-up 27 persons died. Significantly (P < 0.05) elevated relative risk (RR) was found for atrial fibrillation (RR = 13.8), R-on-T ventricular ectopic beats (RR = 7.0), Hrav (RR = 5.6) and pNN50 (RR = 3.4).","0276-6547","0-7803-8170-X","","10.1109/CIC.2003.1291098","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1291098","","Atrial fibrillation;Cats;Diseases;Electrocardiography;Heart rate;Heart rate variability;History;Hypertension;Information analysis;Medical diagnostic imaging","electrocardiography;medical signal processing","46 to 58 year;Cox proportional hazards model;Holter recordings;R-on-T ventricular ectopy;all-cause mortality;ambulatory ECG recordings;arrhythmias;atrial fibrillation;average heart rate;cause mortality risk factors;healthy middle-aged men;heart rate dynamics;low-frequency heart rate variability;normal-to-normal beat intervals","","0","","","","","21-24 Sept. 2003","","IEEE","IEEE Conference Publications"
"Aging effects on cycle length dependence of heart rate variability","Umetani, K.; Duda, C.L.; Singer, D.H.","Dept. of Electr. Eng. & Comput. Sci., Illinois Univ., Chicago, IL, USA","Biomedical Engineering Conference, 1996., Proceedings of the 1996 Fifteenth Southern","20020806","1996","","","361","364","The effects of normal aging on heart rate variability (HRV) and on the cycle length (CL) dependency of HRV were assessed in 24 hour recordings obtained from 66 subjects divided into 3 groups: healthy young subjects, healthy elderly subjects and age matched elderly patients with ischemic heart disease (IHD). The results show: (1) 24 hour HRV decreases with normal aging; (2) the CL dependency of HRV also decreases with normal aging; (3) CL dependency persists in the healthy elderly to a variable degree, even at a very advanced age, but not in age-matched elderly patients with IHD, and (4) the degree of decrease in HRV and in CL dependency differed for different HRV measures, presumably reflecting differences in underlying autonomic mechanisms","","0-7803-3131-1","","10.1109/SBEC.1996.493226","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=493226","","Aging;Biomedical engineering;Cardiac disease;Cardiology;Cardiovascular diseases;Computer science;Frequency domain analysis;Heart rate;Heart rate variability;Senior citizens","electrocardiography;medical signal processing","24 hr;age-matched elderly patients;aging effects;cycle length dependence;healthy elderly subjects;healthy young subjects;heart rate variability;ischemic heart disease;normal aging;underlying autonomic mechanisms","","2","","14","","","29-31 Mar 1996","29 Mar 1996-31 Mar 1996","IEEE","IEEE Conference Publications"
"Age-dependent response of heart rate variability parameters to head-up tilt tests in young syncope patients and controls","Maier, C.; Magerl, M.; Khalil, M.; Ulmer, H.; Dickhaus, H.","Heilbronn Univ., Heilbronn","Computers in Cardiology, 2006","20080507","2006","","","861","864","This study examines the utility of heart rate variability (HRV) and repolarization parameters to predict the outcome of head-up tilt tests from early phases of the response to tilting in 44 young patients with syncope and 34 age-matched controls. Synchronized to the tilting events, we extracted minute-by-minute progression of time- and frequency domain HRV descriptors as well as mean QT interval and linear QT-RR model parameters. The Wilcoxon rank sum test revealed significant effects of age in patients. Time-courses of patients and controls exhibited a high degree of concordance in young subjects whereas after start of puberty patients exhibited more prominent and persistent responses. Controls did not change significantly. This was also confirmed by ROC analysis in three temporal regions of interest (ROI1: 0-2 min after tilt, ROI2: 2-5 min after tilt and ROI3:5-2 min before tilt back) which consistently revealed higher area under curve for older subjects with sensitivity up to 79 % and specificity up to 75% in ROI2.","","978-1-4244-2532-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4511988","","Electrocardiography;Frequency domain analysis;Frequency synchronization;Hafnium;Heart rate interval;Heart rate variability;Ischemic pain;Pediatrics;Stress;Testing","electrocardiography;haemodynamics;paediatrics;sensitivity analysis","HRV parameter age dependence;ROC analysis;Wilcoxon rank sum test;frequency domain HRV descriptors;head up tilt tests;heart rate variability;linear QT-RR model parameters;mean QT interval;puberty;repolarization parameters;time domain HRV descriptors;young syncope patients","","0","","5","","","17-20 Sept. 2006","","IEEE","IEEE Conference Publications"
"Age related changes in variability of short-term heart rate and diastolic period","Peng Li; Chengyu Liu; Xin Sun; Yongai Ren; Chang Yan; Zhonghan Yu; Changchun Liu","Sch. of Control Sci. & Eng., Shandong Univ., Jinan, China","Computing in Cardiology Conference (CinC), 2013","20140116","2013","","","995","998","Previous studies have proved that the heart rate variability (HRV) is preferentially expressed in cardiac diastolic period variability (DPV). Does that mean that DPV analysis should act as an alternative approach for characterizing the autonomic regulation? And do they behave in accordance with each other in all subjects with various ages? Our aim was thus to assess the age related changes in: 1) HRV and DPV through frequency domain analysis, and 2) the interactions between HRV and DPV in a nonlinear coupling analysis framework. Totally 60 healthy subjects were enrolled. Results showed that both LF and HF powers of DPV decreased with the increasing of age (both p<;0.001), which behaved generally in the same way with HRV. However, their coupling, especially in terms of short-range correlations (p<;0.01), decreased significantly with aging, which suggests that the interactions between HRV and DPV might provide additional valuable information for characterizing the autonomic regulation in aged individuals.","2325-8861","978-1-4799-0884-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6713547","","Abstracts;Bismuth;Heart;Piezoresistance;Protocols;Regression analysis;Splines (mathematics)","blood pressure measurement;electrocardiography;frequency-domain analysis;medical signal processing;short-range order","ECG;HF powers;LF powers;age related changes;autonomic regulation;cardiac diastolic period variability;electrocardiography;frequency domain analysis;nonlinear coupling analysis framework;short-range correlations;short-term heart rate variability","","0","","12","","","22-25 Sept. 2013","","IEEE","IEEE Conference Publications"
"The effect of gender, gestational age and behavioral states on fetal heart rate variability","Goncalves, H.; Ayres-de-Campos, D.; Bernardes, J.","Fundacao para a Cienc. e a Tecnol., Portugal","Cardiovascular Oscillations (ESGCO), 2014 8th Conference of the European Study Group on","20140708","2014","","","19","20","Cardiotocography (CTG) is the most frequently used electronic fetal monitoring technique, both in the antepartum and intrapartum periods. A few systems for computer analysis of CTG tracings have been developed, but there is still a large room for improvement in their capacity to diagnose fetal hypoxia/acidosis. Research on fetal heart rate (FHR) analysis has shown that several factors are not commonly considered in such systems, and these can significantly influence the computation of FHR indices: among them are gender, gestational age and fetal behavioral states. A short review is provided on the influence of these factors in FHR analysis, particularly in linear (time- and frequency-domain) and nonlinear (entropy) indices. In conclusion, the effect of gender, gestational age and behavioral states on FHR analysis may need to be considered for the improvement of computer systems developed for that purpose.","","","","10.1109/ESGCO.2014.6847498","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6847498","","Complexity theory;Computers;Entropy;Fetal heart rate;Frequency-domain analysis;Monitoring;Resonant frequency","diseases;electrocardiography;entropy;obstetrics;patient monitoring;time-frequency analysis","CTG tracings;antepartum periods;behavioral states;cardiotocography;computer analysis;electronic fetal monitoring technique;fetal heart rate variability;fetal hypoxia-acidosis diagnosis;gender effect;gestational age;intrapartum periods;linear frequency-domain indices;linear time-domain indices;nonlinear entropy indices","","0","","14","","","25-28 May 2014","","IEEE","IEEE Conference Publications"
"Characterization of Heart Rate Variability loss with aging and heart failure using Sample Entropy","Goya-Esteban, R.; de Sa, J.P.M.; Rojo-Alvarez, J.L.; Barquero-Perez, O.","Inst. de Eng. Biomedica, Porto","Computers in Cardiology, 2008","20090113","2008","","","41","44","Entropy based measures, such as Sample Entropy (SampEn), have been widely used for quantifying the Heart Rate Variability (HRV) for cardiac risk stratification purposes, with the hypothesis that decreasing entropy points to a perturbation of the complex physiological mechanisms or disease. However, in the literature, higher entropy values have been reported for some pathologies than for healthy subjects, which could be due to the use of a threshold value r tuned relative to the signal standard deviation. In the present paper we apply SampEn to assess the variability of the RR time series from healthy subjects and subjects with Congestive Heart Failure (CHF) in order to discriminate between both groups, as well as to characterize the variability loss due to aging. We conclude that the use of a fixed threshold value r in the SampEn algorithm instead of its conventional setting (as a percentage of the standard deviation of each data series), improves the discrimination capabilities between healthy and CHF subjects, and it allows to quantify the loss of HRV due to aging in healthy subjects.","0276-6547","978-1-4244-3706-1","","10.1109/CIC.2008.4748972","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4748972","","Aging;Autonomic nervous system;Cardiac disease;Cardiovascular diseases;Data analysis;Entropy;Heart rate variability;Loss measurement;Pathology;Time series analysis","cardiology;entropy;medical diagnostic computing;patient diagnosis;time series","SampEn algorithm;aging;cardiac risk stratification;congestive heart failure;heart rate variability loss;sample entropy;time series","","2","","8","","","14-17 Sept. 2008","","IEEE","IEEE Conference Publications"
"A comparison of fetal and neonatal heart rate variability at similar post-menstrual ages","Padhye, N.S.; Verklan, M.Terese; Brazdeikis, A.; Williams, Amber L.; Khattak, Asif Z.; Lasky, Robert E.","The University of Texas Health Science Center at Houston, 77030 USA","Engineering in Medicine and Biology Society, 2008. EMBS 2008. 30th Annual International Conference of the IEEE","20081014","2008","","","2801","2804","Substantial differences of heart rate variability (HRV) were found between fetuses and prematurely born neonates in the high-frequency band of the power spectrum. The range of post-menstrual ages of the fetuses and neonates were closely matched in this study. Growth of HRV was observed in low-frequency and high-frequency bands, reflecting maturation of the autonomic nervous system. The higher level of fetal HRV in the high-frequency band persisted even after accounting for age-related changes. Multiscale entropy was also higher in fetuses than in prematurely born neonates. These results suggest that the autonomic balance is poorer among neonates born prematurely than in fetuses of identical post-menstrual age.","1557-170X","978-1-4244-1814-5","978-1-4244-1815-2","10.1109/IEMBS.2008.4649784","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4649784","","Autonomic nervous system;Entropy;Fluctuations;Heart rate measurement;Heart rate variability;Magnetic field measurement;Magnetic separation;Magnetic shielding;Pediatrics;SQUIDs","","","Autonomic Nervous System;Electrocardiography;Female;Fetal Monitoring;Gestational Age;Heart Rate;Humans;Infant, Newborn;Models, Statistical;Pregnancy;Reproducibility of Results;Signal Processing, Computer-Assisted;Time Factors","0","","24","","","20-25 Aug. 2008","","IEEE","IEEE Conference Publications"
"The effect of aging and cardiac disease on that portion of QT interval variability that is independent of Heart Rate Variability","Starc, V.; Schlegel, T.T.","Fac. of Med., Univ. of Ljubljana, Ljubljana","Computers in Cardiology, 2008","20090113","2008","","","315","317","Our goal was to remove all readily explainable (extrinsic) portions of beat-to-beat QT interval variability (QTV) from total QTV so as to derive the purest possible measure of intrinsic QTV. For this purpose we developed a model that describes extrinsic QTV based on other factors ascertainable from the ECG, such as changes in RR intervals, voltage amplitudes and QRS-T angles. Five-min supine high-fidelity 12-lead ECGs were acquired from 101 individuals, including from 20 healthy young men (age 21plusmn1) and from three groups of middle-aged individuals (52plusmn11 years) with increasing levels of cardiac disease. By fitting our model data to the measured QT interval signal, we calculated the explained (extrinsic) part of QTV, and the difference between the measured and the calculated QT signal represented the ldquounexplainedrdquo (or intrinsic) part of QTV. Results suggest that the ratio of unexplained to explained QTV increases with both age and cardiac disease.","0276-6547","978-1-4244-3706-1","","10.1109/CIC.2008.4749041","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4749041","","Aging;Cardiac disease;Cardiology;Eigenvalues and eigenfunctions;Electrocardiography;Extraterrestrial measurements;Heart rate interval;Heart rate variability;Time measurement;Voltage","diseases;electrocardiography","ECG;QT interval variability;aging;cardiac disease;electrocardiography;heart rate variability","","2","","7","","","14-17 Sept. 2008","","IEEE","IEEE Conference Publications"
